Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120,Expense,,120
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130,Expense,,130
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35,Expense,,35
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75,Expense,,75
11/27/2021 13:46,CUB - online payment,Allowance,,From dad,2000,Income,,2000
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30,Expense,,30
11/26/2021 21:56,CUB - online payment,Food,,Beer,150,Expense,,150
11/26/2021 20:57,CUB - online payment,Food,,Snack,102,Expense,,102
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40,Expense,,40
11/26/2021 14:14,CUB - online payment,Petty cash,,Cashback,3,Income,,3
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150,Expense,,150
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60,Expense,,60
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145,Expense,,145
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58,Expense,,58
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95,Expense,,95
11/24/2021 19:26,CUB - online payment,Food,,Snack,15,Expense,,15
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70,Expense,,70
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20,Expense,,20
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58,Expense,,58
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50,Expense,,50
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179,Expense,,179
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90,Expense,,90
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97,Expense,,97
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130,Expense,,130
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875,Expense,,875
11/21/2021 13:30,CUB - online payment,Other,,Got from gobi,2000,Income,,2000
